date,average_temp,precipitation,snowfall
01/01/17,68,0.76,0
01/02/17,68,1.75,0
01/03/17,64,0,0
01/04/17,53,0,0
01/05/17,54,0.01,
01/06/17,38,0.41,
01/07/17,30,0,0
01/08/17,35,0,0
01/09/17,46,T,
01/10/17,65,0,0
01/11/17,68,T,0
01/12/17,72,0,0
01/13/17,70,0.01,0
01/14/17,65,0,0
01/15/17,65,0,0
01/16/17,72,T,0
01/17/17,73,0,0
01/18/17,73,0,0
01/19/17,66,4.9,0
01/20/17,70,0,0
01/21/17,68,1.67,0
01/22/17,63,0.08,0
01/23/17,57,0,0
01/24/17,58,0,0
01/25/17,66,0.09,0
01/26/17,53,0,0
01/27/17,45,0,0
01/28/17,50,0,0
01/29/17,53,0,0
01/30/17,57,0,0
01/31/17,62,T,
02/01/17,68,0,0
02/02/17,66,0.01,0
02/03/17,52,T,0
02/04/17,52,0,0
02/05/17,65,0,0
02/06/17,72,0,0
02/07/17,74,0.24,0
02/08/17,75,0,0
02/09/17,59,0,0
02/10/17,59,0,0
02/11/17,74,T,0
02/12/17,76,0,0
02/13/17,69,0,0
02/14/17,66,0.1,0
02/15/17,51,0,0
02/16/17,52,0,0
02/17/17,52,0.1,
02/18/17,62,0,0
02/19/17,66,0,0
02/20/17,71,0.59,0
02/21/17,65,0.24,0
02/22/17,67,T,0
02/23/17,66,0,0
02/24/17,70,0,0
02/25/17,58,0,0
02/26/17,55,T,0
02/27/17,71,0.47,0
02/28/17,78,0,0
03/01/17,74,0.06,0
03/02/17,60,0,0
03/03/17,57,0,0
03/04/17,57,T,
03/05/17,62,0.08,0
03/06/17,70,0.12,0
03/07/17,68,0.83,0
03/08/17,65,0,0
03/09/17,69,0.19,0
03/10/17,74,T,0
03/11/17,63,0.1,0
03/12/17,55,0.15,
03/13/17,54,T,
03/14/17,53,0,0
03/15/17,51,0,0
03/16/17,54,0,0
03/17/17,66,0,0
03/18/17,68,0,0
03/19/17,73,0,0
03/20/17,73,0,0
03/21/17,75,0,0
03/22/17,72,0,0
03/23/17,72,0,0
03/24/17,75,0,0
03/25/17,68,0.96,0
03/26/17,73,0,0
03/27/17,76,0,0
03/28/17,78,0,0
03/29/17,77,0.04,0
03/30/17,68,1.21,0
03/31/17,69,0,0
04/01/17,71,0,0
04/02/17,70,0.08,0
04/03/17,71,3.69,0
04/04/17,72,0,0
04/05/17,71,0,0
04/06/17,62,0,0
04/07/17,63,0,0
04/08/17,64,0,0
04/09/17,67,0,0
04/10/17,69,0,0
04/11/17,73,0.13,0
04/12/17,72,0,0
04/13/17,72,0,0
04/14/17,71,0,0
04/15/17,72,0.02,0
04/16/17,75,0.04,0
04/17/17,75,0.22,0
04/18/17,75,0,0
04/19/17,74,0,0
04/20/17,77,0.03,0
04/21/17,76,0,0
04/22/17,75,0.33,0
04/23/17,60,0,0
04/24/17,65,0,0
04/25/17,67,0,0
04/26/17,77,0.03,0
04/27/17,70,0,0
04/28/17,79,0,0
04/29/17,84,0,0
04/30/17,70,2.83,0
05/01/17,67,0,0
05/02/17,70,0,0
05/03/17,64,2.34,0
05/04/17,58,0.09,0
05/05/17,64,0,0
05/06/17,64,0,0
05/07/17,69,0,0
05/08/17,71,0,0
05/09/17,71,0,0
05/10/17,73,0,0
05/11/17,76,0,0
05/12/17,74,1.11,0
05/13/17,71,0,0
05/14/17,72,0,0
05/15/17,76,0,0
05/16/17,76,0,0
05/17/17,78,0,0
05/18/17,80,0,0
05/19/17,83,T,0
05/20/17,79,0.68,0
05/21/17,76,1.53,0
05/22/17,71,0.76,0
05/23/17,75,0.19,0
05/24/17,68,T,0
05/25/17,69,0,0
05/26/17,77,0,0
05/27/17,83,0,0
05/28/17,79,0.01,0
05/29/17,75,0.03,0
05/30/17,73,2.01,0
05/31/17,79,0.33,0
06/01/17,77,2.04,0
06/02/17,80,0.01,0
06/03/17,80,T,0
06/04/17,80,T,0
06/05/17,78,0.41,0
06/06/17,77,0.66,0
06/07/17,77,T,0
06/08/17,74,0,0
06/09/17,73,0,0
06/10/17,78,0,0
06/11/17,79,0.29,0
06/12/17,80,0.01,0
06/13/17,81,0.89,0
06/14/17,82,0,0
06/15/17,83,0,0
06/16/17,84,0,0
06/17/17,82,0.06,0
06/18/17,80,0.02,0
06/19/17,81,0.07,0
06/20/17,76,0.08,0
06/21/17,77,1.34,0
06/22/17,82,0.6,0
06/23/17,84,0.12,0
06/24/17,83,0.89,0
06/25/17,81,0,0
06/26/17,79,0,0
06/27/17,80,0,0
06/28/17,78,0.05,0
06/29/17,75,2.02,0
06/30/17,83,0,0
07/01/17,86,0,0
07/02/17,84,0,0
07/03/17,85,0,0
07/04/17,84,0,0
07/05/17,85,0.2,0
07/06/17,83,T,0
07/07/17,84,0.22,0
07/08/17,83,0.01,0
07/09/17,83,0.14,0
07/10/17,81,1.35,0
07/11/17,82,1.2,0
07/12/17,82,0.18,0
07/13/17,83,0.12,0
07/14/17,83,T,0
07/15/17,82,1.88,0
07/16/17,84,T,0
07/17/17,83,0,0
07/18/17,85,0,0
07/19/17,85,0,0
07/20/17,86,0,0
07/21/17,86,T,0
07/22/17,82,0.04,0
07/23/17,79,0.31,0
07/24/17,82,0.34,0
07/25/17,82,T,0
07/26/17,85,0,0
07/27/17,84,0,0
07/28/17,85,0,0
07/29/17,80,0.45,0
07/30/17,82,0,0
07/31/17,81,0,0
08/01/17,82,0,0
08/02/17,80,T,0
08/03/17,78,0.01,0
08/04/17,84,0.03,0
08/05/17,83,T,0
08/06/17,83,0.47,0
08/07/17,81,0.74,0
08/08/17,81,0.25,0
08/09/17,83,0.02,0
08/10/17,83,1.34,0
08/11/17,83,0.12,0
08/12/17,83,0,0
08/13/17,84,0,0
08/14/17,85,T,0
08/15/17,84,0.06,0
08/16/17,82,0.23,0
08/17/17,85,T,0
08/18/17,85,0,0
08/19/17,85,0.77,0
08/20/17,84,0,0
08/21/17,84,0.04,0
08/22/17,83,0.43,0
08/23/17,82,0,0
08/24/17,83,T,0
08/25/17,81,T,0
08/26/17,84,T,0
08/27/17,78,0.18,0
08/28/17,73,1.44,0
08/29/17,75,1.34,0
08/30/17,79,0.27,0
08/31/17,77,T,0
09/01/17,80,0,0
09/02/17,79,0,0
09/03/17,79,0,0
09/04/17,79,T,0
09/05/17,82,0.03,0
09/06/17,73,0,0
09/07/17,70,0,0
09/08/17,71,0,0
09/09/17,73,0,0
09/10/17,75,0,0
09/11/17,73,0,0
09/12/17,72,0,0
09/13/17,74,0,0
09/14/17,77,0,0
09/15/17,80,T,0
09/16/17,82,T,0
09/17/17,82,0.01,0
09/18/17,82,0,0
09/19/17,83,0,0
09/20/17,81,T,0
09/21/17,81,0.03,0
09/22/17,81,0,0
09/23/17,82,0,0
09/24/17,79,0.01,0
09/25/17,78,0,0
09/26/17,80,T,0
09/27/17,82,T,0
09/28/17,83,T,0
09/29/17,81,0,0
09/30/17,78,0,0
10/01/17,78,T,0
10/02/17,75,0.06,0
10/03/17,79,0.01,0
10/04/17,77,0,0
10/05/17,76,0,0
10/06/17,77,T,0
10/07/17,79,0.27,0
10/08/17,81,0,0
10/09/17,81,0.01,0
10/10/17,82,1.86,0
10/11/17,79,0,0
10/12/17,78,0,0
10/13/17,78,0,0
10/14/17,80,0,0
10/15/17,79,0.16,0
10/16/17,65,0.18,0
10/17/17,63,0,0
10/18/17,68,0,0
10/19/17,70,0,0
10/20/17,71,0,0
10/21/17,78,0.22,0
10/22/17,69,0.4,0
10/23/17,64,0,0
10/24/17,63,0,0
10/25/17,56,0,0
10/26/17,61,0,0
10/27/17,66,0.33,0
10/28/17,50,0.12,
10/29/17,49,0,0
10/30/17,58,0,0
10/31/17,64,0,0
11/01/17,65,1.76,0
11/02/17,76,0,0
11/03/17,76,0,0
11/04/17,75,0,0
11/05/17,75,0,0
11/06/17,77,0,0
11/07/17,76,0,0
11/08/17,64,0,0
11/09/17,55,0.03,
11/10/17,58,0,0
11/11/17,59,0,0
11/12/17,67,0,0
11/13/17,66,0,0
11/14/17,62,0,0
11/15/17,63,0,0
11/16/17,65,0,0
11/17/17,67,0,0
11/18/17,70,0.04,0
11/19/17,51,0,0
11/20/17,49,0,0
11/21/17,55,0.09,
11/22/17,55,0,0
11/23/17,48,0,0
11/24/17,50,0,0
11/25/17,55,0,0
11/26/17,57,0,0
11/27/17,54,0,0
11/28/17,56,0,0
11/29/17,67,0,0
11/30/17,64,0.78,0
12/01/17,61,0,0
12/02/17,58,0,0
12/03/17,60,0,0
12/04/17,66,0,0
12/05/17,66,1.29,
12/06/17,45,0.92,
12/07/17,41,0.9,0
12/08/17,35,0.14,3.5
12/09/17,41,0,0
12/10/17,45,0,0
12/11/17,53,0,0
12/12/17,49,0,0
12/13/17,46,0,0
12/14/17,51,0,0
12/15/17,44,T,
12/16/17,50,0,0
12/17/17,61,1.12,0
12/18/17,65,0.14,0
12/19/17,70,0.03,0
12/20/17,66,0.38,0
12/21/17,63,0,0
12/22/17,75,0,0
12/23/17,60,0.14,
12/24/17,53,0,0
12/25/17,44,0,0
12/26/17,47,0.1,0
12/27/17,42,0.67,0
12/28/17,42,0.1,0
12/29/17,44,0,0
12/30/17,56,T,
12/31/17,38,0.01,0
01/01/16,47,0.09,0
01/02/16,47,0,0
01/03/16,48,T,0
01/04/16,48,0,0
01/05/16,43,0,0
01/06/16,53,0,0
01/07/16,54,0.82,0
01/08/16,60,0,0
01/09/16,59,1.02,0
01/10/16,42,0,0
01/11/16,41,0,0
01/12/16,47,0,0
01/13/16,48,0,0
01/14/16,52,0.87,0
01/15/16,61,0,0
01/16/16,54,0.28,0
01/17/16,46,T,0
01/18/16,44,0,0
01/19/16,48,0,0
01/20/16,61,T,0
01/21/16,62,1.28,0
01/22/16,42,T,0
01/23/16,41,0,0
01/24/16,42,0,0
01/25/16,58,T,0
01/26/16,54,1.37,0
01/27/16,51,0,0
01/28/16,47,0,0
01/29/16,55,0,0
01/30/16,58,0,0
